QB_Rank_0,Player,QB_CMP_2,QB_ATT_3,QB_PCT_4,QB_YDS_5,QB_Y/A_6,QB_TD_7,QB_INT_8,QB_SACKS_9,QB_ATT_10,QB_YDS_11,QB_TD_12,QB_FL_13,QB_G_14,QB_FPTS_15,QB_FPTS/G_16,QB_ROST_17,Position,RB_Rank_0,RB_ATT_2,RB_YDS_3,RB_Y/A_4,RB_LG_5,RB_20+_6,RB_TD_7,RB_REC_8,RB_TGT_9,RB_YDS_10,RB_Y/R_11,RB_TD_12,RB_FL_13,RB_G_14,RB_FPTS_15,RB_FPTS/G_16,RB_ROST_17,WR_Rank_0,WR_REC_2,WR_TGT_3,WR_YDS_4,WR_Y/R_5,WR_LG_6,WR_20+_7,WR_TD_8,WR_ATT_9,WR_YDS_10,WR_TD_11,WR_FL_12,WR_G_13,WR_FPTS_14,WR_FPTS/G_15,WR_ROST_16,TE_Rank_0,TE_REC_2,TE_TGT_3,TE_YDS_4,TE_Y/R_5,TE_LG_6,TE_20+_7,TE_TD_8,TE_ATT_9,TE_YDS_10,TE_TD_11,TE_FL_12,TE_G_13,TE_FPTS_14,TE_FPTS/G_15,TE_ROST_16,DST_Rank_0,DST_SACK_2,DST_INT_3,DST_FR_4,DST_FF_5,DST_DEF TD_6,DST_SFTY_7,DST_SPC TD_8,DST_G_9,DST_FPTS_10,DST_FPTS/G_11,DST_ROST_12
,Craig Reynolds (DET),,,,,,,,,,,,,,,,,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mike Weber (NYG),,,,,,,,,,,,,,,,,RB,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travis Homer (CHI),,,,,,,,,,,,,,,,,RB,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khari Blasingame (CHI),,,,,,,,,,,,,,,,,RB,93,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrew Beck (HOU),,,,,,,,,,,,,,,,,RB,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacob Johnson (FA),,,,,,,,,,,,,,,,,RB,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jonathan Ward (PIT),,,,,,,,,,,,,,,,,RB,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reggie Gilliam (BUF),,,,,,,,,,,,,,,,,RB,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaret Patterson (LAC),,,,,,,,,,,,,,,,,RB,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elijah Collins (CIN),,,,,,,,,,,,,,,,,RB,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demetric Felton Jr. (CHI),,,,,,,,,,,,,,,,,RB,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raheem Blackshear (CAR),,,,,,,,,,,,,,,,,RB,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jermar Jefferson (DET),,,,,,,,,,,,,,,,,RB,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trey Benson (ARI),,,,,,,,,,,,,,,,,RB,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keaton Mitchell (BAL),,,,,,,,,,,,,,,,,RB,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xazavian Valladay (NYJ),,,,,,,,,,,,,,,,,RB,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenny McIntosh (SEA),,,,,,,,,,,,,,,,,RB,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chase Brown (CIN),,,,,,,,,,,,,,,,,RB,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emari Demercado (ARI),,,,,,,,,,,,,,,,,RB,108,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Washington Jr. (ATL),,,,,,,,,,,,,,,,,RB,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jack Colletto (PIT),,,,,,,,,,,,,,,,,RB,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elijah Dotson (LAC),,,,,,,,,,,,,,,,,RB,111,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lew Nichols III (PHI),,,,,,,,,,,,,,,,,RB,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DeWayne McBride (MIN),,,,,,,,,,,,,,,,,RB,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brittain Brown (LV),,,,,,,,,,,,,,,,,RB,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jabari Small (TEN),,,,,,,,,,,,,,,,,RB,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julius Chestnut (TEN),,,,,,,,,,,,,,,,,RB,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zonovan Knight (DET),,,,,,,,,,,,,,,,,RB,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Troy Hairston II (HOU),,,,,,,,,,,,,,,,,RB,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aaron Shampklin (PIT),,,,,,,,,,,,,,,,,RB,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyreik McAllister (LV),,,,,,,,,,,,,,,,,RB,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carson Steele (KC),,,,,,,,,,,,,,,,,RB,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dante Miller (NYG),,,,,,,,,,,,,,,,,RB,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Louis Rees-Zammit (KC),,,,,,,,,,,,,,,,,RB,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aidan Robbins (CLE),,,,,,,,,,,,,,,,,RB,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austin Jones (WAS),,,,,,,,,,,,,,,,,RB,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isaac Guerendo (SF),,,,,,,,,,,,,,,,,RB,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blake Watson (DEN),,,,,,,,,,,,,,,,,RB,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Wiley (WAS),,,,,,,,,,,,,,,,,RB,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaden Shirden (CAR),,,,,,,,,,,,,,,,,RB,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacob Kibodi (NO),,,,,,,,,,,,,,,,,RB,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kimani Vidal (LAC),,,,,,,,,,,,,,,,,RB,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emani Bailey (KC),,,,,,,,,,,,,,,,,RB,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jawhar Jordan (HOU),,,,,,,,,,,,,,,,,RB,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sione Vaki (DET),,,,,,,,,,,,,,,,,RB,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dillon Johnson (CAR),,,,,,,,,,,,,,,,,RB,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cody Schrader (SF),,,,,,,,,,,,,,,,,RB,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ramon Jefferson (TB),,,,,,,,,,,,,,,,,RB,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colson Yankoff (WAS),,,,,,,,,,,,,,,,,RB,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dylan Laube (LV),,,,,,,,,,,,,,,,,RB,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trent Pennix (IND),,,,,,,,,,,,,,,,,RB,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Terrell Jennings (NE),,,,,,,,,,,,,,,,,RB,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lorenzo Lingard (JAC),,,,,,,,,,,,,,,,,RB,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jalen Jackson (JAC),,,,,,,,,,,,,,,,,RB,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sam Schnee (TEN),,,,,,,,,,,,,,,,,RB,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British Brooks (HOU),,,,,,,,,,,,,,,,,RB,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jarveon Howard (GB),,,,,,,,,,,,,,,,,RB,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kobe Lewis (SEA),,,,,,,,,,,,,,,,,RB,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Wheeler (CHI),,,,,,,,,,,,,,,,,RB,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nathaniel Peat (DAL),,,,,,,,,,,,,,,,,RB,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chris Collier (BAL),,,,,,,,,,,,,,,,,RB,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ray Davis (BUF),,,,,,,,,,,,,,,,,RB,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacob Saylors (NYG),,,,,,,,,,,,,,,,,RB,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isaiah Davis (NYJ),,,,,,,,,,,,,,,,,RB,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hunter Luepke (DAL),,,,,,,,,,,,,,,,,RB,154,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ellis Merriweather (GB),,,,,,,,,,,,,,,,,RB,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emanuel Wilson (GB),,,,,,,,,,,,,,,,,RB,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owen Wright (BAL),,,,,,,,,,,,,,,,,RB,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Gore Jr. (BUF),,,,,,,,,,,,,,,,,RB,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chris Brooks (MIA),,,,,,,,,,,,,,,,,RB,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordan Mims (NO),,,,,,,,,,,,,,,,,RB,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deneric Prince (KC),,,,,,,,,,,,,,,,,RB,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Levi Bell (IND),,,,,,,,,,,,,,,,,RB,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zavier Scott (IND),,,,,,,,,,,,,,,,,RB,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Burns (ATL),,,,,,,,,,,,,,,,,RB,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bucky Irving (TB),,,,,,,,,,,,,,,,,RB,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jonathon Brooks (CAR),,,,,,,,,,,,,,,,,RB,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaylen Wright (MIA),,,,,,,,,,,,,,,,,RB,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daijun Edwards (PIT),,,,,,,,,,,,,,,,,RB,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rasheen Ali (BAL),,,,,,,,,,,,,,,,,RB,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kendre Miller (NO),,,,,,,,,,,,,,,,,RB,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordan Mason (SF),,,,,,,,,,,,,,,,,RB,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyrion Davis-Price (PHI),,,,,,,,,,,,,,,,,RB,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyrone Tracy Jr. (NYG),,,,,,,,,,,,,,,,,RB,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyler Goodson (IND),,,,,,,,,,,,,,,,,RB,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kendall Milton (PHI),,,,,,,,,,,,,,,,,RB,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jashaun Corbin (NYG),,,,,,,,,,,,,,,,,RB,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Will Shipley (PHI),,,,,,,,,,,,,,,,,RB,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Holani (SEA),,,,,,,,,,,,,,,,,RB,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D.J. Williams (TB),,,,,,,,,,,,,,,,,RB,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noah Cain (CIN),,,,,,,,,,,,,,,,,RB,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eric Gray (NYG),,,,,,,,,,,,,,,,,RB,181,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steele Chambers (NE),,,,,,,,,,,,,,,,,RB,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Audric Estime (DEN),,,,,,,,,,,,,,,,,RB,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snoop Conner (DAL),,,,,,,,,,,,,,,,,RB,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blake Corum (LAR),,,,,,,,,,,,,,,,,RB,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keilan Robinson (JAC),,,,,,,,,,,,,,,,,RB,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jase McClellan (ATL),,,,,,,,,,,,,,,,,RB,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javian Hawkins (TEN),,,,,,,,,,,,,,,,,RB,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronnie Rivers (LAR),,,,,,,,,,,,,,,,,RB,189,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zander Horvath (NO),,,,,,,,,,,,,,,,,RB,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyler Badie (DEN),,,,,,,,,,,,,,,,,RB,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hassan Haskins (TEN),,,,,,,,,,,,,,,,,RB,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Israel Abanikanda (NYJ),,,,,,,,,,,,,,,,,RB,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Braelon Allen (NYJ),,,,,,,,,,,,,,,,,RB,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malik Davis (DAL),,,,,,,,,,,,,,,,,RB,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre Strong Jr. (CLE),,,,,,,,,,,,,,,,,RB,196,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sincere McCormick (LV),,,,,,,,,,,,,,,,,RB,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isaiah Spiller (LAC),,,,,,,,,,,,,,,,,RB,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De'Von Achane (MIA),,,,,,,,,,,,,,,,,RB,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zach Evans (LAR),,,,,,,,,,,,,,,,,RB,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MarShawn Lloyd (GB),,,,,,,,,,,,,,,,,RB,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kevin Harris (NE),,,,,,,,,,,,,,,,,RB,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adam Prentice (NO),,,,,,,,,,,,,,,,,RB,203,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ben Mason (LAC),,,,,,,,,,,,,,,,,RB,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avery Williams (ATL),,,,,,,,,,,,,,,,,RB,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
